Date,Medicine_Name,Current_Stock,Sales_Quantity,Demand,Expiry_Date
2026-08-01,Paracetamol,62,48,50,2026-12-24
2026-08-02,Amoxicillin,121,77,68,2027-08-03
2026-08-03,Azithromycin,94,159,181,2027-03-27
2026-08-04,Cetirizine,65,28,18,2026-12-13
2026-08-05,Metformin,308,79,102,2026-09-07
2026-08-06,Omeprazole,151,163,182,2027-03-28
2026-08-07,Ibuprofen,279,76,98,2027-01-16
2026-08-08,Vitamin D3,438,21,16,2027-08-20
2026-08-09,Aspirin,224,128,130,2026-11-16
2026-08-10,Cough Syrup,440,75,81,2026-10-21
2026-08-11,Paracetamol,244,43,34,2027-03-02
2026-08-12,Amoxicillin,359,108,109,2027-10-19
2026-08-13,Azithromycin,423,31,45,2027-06-03
2026-08-14,Cetirizine,243,51,41,2027-06-12
2026-08-15,Metformin,474,95,120,2027-07-17
2026-08-16,Omeprazole,345,112,109,2027-08-31
2026-08-17,Ibuprofen,73,37,36,2027-10-06
2026-08-18,Vitamin D3,90,94,93,2027-11-24
2026-08-19,Aspirin,244,45,47,2027-04-28
2026-08-20,Cough Syrup,133,113,121,2027-03-09
2026-08-21,Paracetamol,393,73,75,2027-09-04
2026-08-22,Amoxicillin,361,38,63,2026-12-07
2026-08-23,Azithromycin,423,156,156,2026-12-04
2026-08-24,Cetirizine,244,138,140,2027-12-30
2026-08-25,Metformin,162,162,167,2027-11-19
2026-08-26,Omeprazole,167,34,21,2027-11-01
2026-08-27,Ibuprofen,255,100,102,2026-10-19
2026-08-28,Vitamin D3,340,74,79,2027-01-03
2026-08-29,Aspirin,252,147,161,2026-11-30
2026-08-30,Cough Syrup,121,87,87,2027-10-05
